name,operator,city,state,full_address,suggested_query_1,suggested_query_2,suggested_query_3
2299 Busse Road (CH2),Digital Realty,Elk Grove Village,IL,"2299 Busse Road, Elk Grove Village, IL, 60007, USA","""2299 Busse Road (CH2)"" ""Digital Realty"" ""opening""","""2299 Busse Road (CH2)"" ""Elk Grove Village"" ""data center"" ""announced""","""Digital Realty"" ""Elk Grove Village"" ""facility"" ""commissioned"""
9401 West Grand Avenue (ORD15),Digital Realty,Franklin Park,IL,"9401 W Grand Ave, Franklin Park, IL, 60131, USA","""9401 West Grand Avenue (ORD15)"" ""Digital Realty"" ""opening""","""9401 West Grand Avenue (ORD15)"" ""Franklin Park"" ""data center"" ""announced""","""Digital Realty"" ""Franklin Park"" ""facility"" ""commissioned"""
Hivelocity - Chicago 1,Hivelocity,Chicago,IL,"350 East Cermak Road, Chicago, IL, 60616, USA","""Hivelocity - Chicago 1"" ""Hivelocity"" ""opening""","""Hivelocity - Chicago 1"" ""Chicago"" ""data center"" ""announced""","""Hivelocity"" ""Chicago"" ""facility"" ""commissioned"""
CyrusOne CHI5 - Lombard,CyrusOne Data Centers,Lombard,IL,"1850 Springers Drive, Lombard, IL, 60148, USA","""CyrusOne CHI5 - Lombard"" ""CyrusOne Data Centers"" ""opening""","""CyrusOne CHI5 - Lombard"" ""Lombard"" ""data center"" ""announced""","""CyrusOne Data Centers"" ""Lombard"" ""facility"" ""commissioned"""
CyrusOne CHI2 - Aurora,CyrusOne Data Centers,Aurora,IL,"2805 Diehl Rd, Aurora, IL, 60502, USA","""CyrusOne CHI2 - Aurora"" ""CyrusOne Data Centers"" ""opening""","""CyrusOne CHI2 - Aurora"" ""Aurora"" ""data center"" ""announced""","""CyrusOne Data Centers"" ""Aurora"" ""facility"" ""commissioned"""
Summit Elk Grove Village,Summit (formerly Deft),Elk Grove Village,IL,"2200 Busse Rd, Elk Grove Village, IL, 60007, USA","""Summit Elk Grove Village"" ""Summit (formerly Deft)"" ""opening""","""Summit Elk Grove Village"" ""Elk Grove Village"" ""data center"" ""announced""","""Summit (formerly Deft)"" ""Elk Grove Village"" ""facility"" ""commissioned"""
Centersquare - Chicago ORD4-A,Csquare,Lisle,IL,"4513 Western Ave, Lisle, IL, 60532, USA","""Centersquare - Chicago ORD4-A"" ""Csquare"" ""opening""","""Centersquare - Chicago ORD4-A"" ""Lisle"" ""data center"" ""announced""","""Csquare"" ""Lisle"" ""facility"" ""commissioned"""
T5 Data Centers - T5@Chicago,T5 Data Centers,Elk Grove Village,IL,"200 Innovation Dr, Elk Grove Village, IL, 60007, USA","""T5 Data Centers - T5@Chicago"" ""T5 Data Centers"" ""opening""","""T5 Data Centers - T5@Chicago"" ""Elk Grove Village"" ""data center"" ""announced""","""T5 Data Centers"" ""Elk Grove Village"" ""facility"" ""commissioned"""
Serverfarm Chicago Data Center CH1,Serverfarm,Chicago,IL,"840 S. Canal Street, Chicago, IL, 60607, USA","""Serverfarm Chicago Data Center CH1"" ""Serverfarm"" ""opening""","""Serverfarm Chicago Data Center CH1"" ""Chicago"" ""data center"" ""announced""","""Serverfarm"" ""Chicago"" ""facility"" ""commissioned"""
Netrality - 717 S Wells,Netrality,Chicago,IL,"717 S. Wells, Chicago, IL, 60607, USA","""Netrality - 717 S Wells"" ""Netrality"" ""opening""","""Netrality - 717 S Wells"" ""Chicago"" ""data center"" ""announced""","""Netrality"" ""Chicago"" ""facility"" ""commissioned"""
Prime Chicago Data Center Campus,Prime Data Centers,Elk Grove Village,IL,"1701 Midway Ct, Elk Grove Village, IL, 60007, USA","""Prime Chicago Data Center Campus"" ""Prime Data Centers"" ""opening""","""Prime Chicago Data Center Campus"" ""Elk Grove Village"" ""data center"" ""announced""","""Prime Data Centers"" ""Elk Grove Village"" ""facility"" ""commissioned"""
